iter	Passed	Remaining
0	1	187
1	3	165
2	4	148
3	5	134
4	7	133
5	8	133
6	9	130
7	11	127
8	12	125
9	13	121
10	14	120
11	16	120
12	17	116
13	18	113
14	19	111
15	20	107
16	22	107
17	24	110
18	25	109
19	26	107
20	27	105
21	29	103
22	30	100
23	31	98
24	32	97
25	33	95
26	34	93
27	35	91
28	36	89
29	37	87
30	39	87
31	40	85
32	41	83
33	42	83
34	44	81
35	45	80
36	46	78
37	47	77
38	48	75
39	49	74
40	50	73
41	51	70
42	52	69
43	53	68
44	54	66
45	55	65
46	56	63
47	57	62
48	58	61
49	60	60
50	61	58
51	62	57
52	63	56
53	64	54
54	65	53
55	65	51
56	67	50
57	68	49
58	69	48
59	70	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	21
81	98	21
82	99	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	107	9
92	108	8
93	109	7
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
